北京市,11,8.585
天津市,12,3.032
河北省,13,2.081
山西省,14,1.63
内蒙古自治区,15,0.835
辽宁省,21,1.907
吉林省,22,1.657
黑龙江省,23,1.917
上海市,31,7.713
江苏省,32,2.996
浙江省,33,4.709
安徽省,34,2.154
福建省,35,2.137
江西省,36,1.683
山东省,37,1.855
河南省,41,4.105
湖北省,42,3.811
湖南省,43,3.288
广东省,44,9.022
广西壮族自治区,45,2.427
海南省,46,0.969
重庆市,50,4.754
四川省,51,5.126
贵州省,52,1.845
云南省,53,2.293
西藏自治区,54,0.573
陕西省,61,3.519
甘肃省,62,1.284
青海省,63,0.753
宁夏回族自治区,64,0.845
新疆维吾尔自治区,65,1.416
